ID,Gender,MaoPI,Master,PTJob,CigsOk,AlcOk,DrugsBad,SchoolPercept,SchoolPercAlt,PhysActive,PhysActAlt,ContWorkSmok,ContWorkDrink,WorkerSmoke,WorkerDrink,WorkQuitSmoke,WorkQuitDrink,ContPersSmoke,ContPersDrink,PersonSmoke,PersonDrink,PosSmoke,Pos Drink,OtherMaleSmok,FatherSmoke,MotherSmoke,OtherFemSmok,BroSmoke,SisSmoke,Adult Smoke,Sibling Smoke,FemaleSmoke,MaleSmoke,FatherSmoke1,OtherMaleSmok1,MotherSmoke1,OtherFemSmok1,BroSmoke1,SisSmoke1,MaleSmokB,DadSmokB,MomSmokB,FemaleSmokB,BroSmokB,SisSmokB,ParentAdQuitSmok,FemQuitSmok,MaleQuitSmok,SibQuitSmoke,MaleDrink1,FatherDrink1,MotherDrink1,FemDrink1,OldBroDrink1,OldSisDrink1,ParentAdDrink,FemaleDrink,MaleDrink,SiblingDrink,ParentAdQuitDrink,FemQuitDrink,MaleQuitDrink,SibQuitDrink,MaleDrinkB,FatherDrinkB,MotherDrinkB,FemDrinkB,OldBroDrinkB,OldSisDrinkB,MaleQuitD,FatherQuitD,MomQuitD,FemaleQuitD,BroQuitD,SisQuitD
52,2,1,1,1,1,2,1,53,3,48,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1,2,2,2,1,2,1,2,1,1,2,2,2,2,2,2,2,1,1,3,1,3,1,1,3,1,1,2,1,1,1
53,2,1,1,1,1,1,2,54,3,62,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
54,2,1,3,1,1,1,2,80,4,53,3,1,1,1,1,1,1,1,2,1,2,1,2,1,1,2,1,1,1,2,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1
55,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1,2,2,2,1,1,2,77,4,101,4,61,81,2,2,2,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,2,1,1,1,1,2,1,2,1,2,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1
57,2,1,1,2,1,1,2,95,4,65,3,70,59,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
58,2,1,1,2,1,2,1,66,3,20,1,1,47,1,2,1,1,1,2,1,2,1,1,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,2,1,1,1,1,2,1,2,1,2,1,2,1,1,3,1,1,1,1,1,2,1,1,1,1
59,1,2,3,1,1,1,2,101,4,101,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1
60,2,2,2,1,1,1,2,53,3,62,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1
61,2,2,3,2,1,1,2,101,4,100,4,73,95,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1
62,1,1,1,1,1,1,2,62,3,56,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2
63,1,2,3,1,2,2,1,49,2,100,4,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1
64,1,2,3,1,1,1,2,73,3,101,4,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,2,1,2,2,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,2,2,1,2,2,1,1,2,1,2,1,1,1,1,1,2,1,1,1
65,2,2,3,1,1,2,1,53,3,99,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,3,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
